date,all_collisions,injury_collisions,fatal_collisions,tire_failure_inadequate,oversized_vehicle,following_too_closely,unspecified,shoulders_defective_improper,physical_disability,other_electronic_device,brakes_defective,driver_inexperience,backing_unsafely,prescription_medication,view_obstructed_limited,other_vehicular,other_lighting_defects,reaction_to_other_uninvolved_vehicle,traffic_control_disregarded,fell_asleep,tow_hitch_defective,traffic_control_device_improper_non_working,outside_car_distraction,lane_marking_improper_inadequate,illness,glare,pavement_defective,cell_phone_hand_held,headlights_defective,turning_improperly,failure_to_keep_right,aggressive_driving_road_rage,passenger_distraction,pavement_slippery,drugs_illegal,cell_phone_hands_free,fatigued_drowsy,steering_failure,unsafe_speed,unsafe_lane_changing,alcohol_involvement,lost_consciousness,passing_or_lane_usage_improper,pedestrian_bicyclist_other_pedestrian_error_confusion,animals_action,failure_to_yield_right_of_way,accelerator_defective,driver_inattention_distraction,windshield_inadequate,obstruction_debris
2012-08-11,507,155,2,0,3,0,793,0,9,2,0,9,15,17,2,22,0,0,9,0,0,0,8,0,2,0,0,0,0,8,0,2,4,0,0,0,27,0,2,0,9,12,0,1,0,18,2,51,0,0
2012-08-12,505,150,0,3,0,0,797,0,5,2,2,6,11,15,0,12,0,0,10,0,0,0,7,0,2,0,0,0,0,8,2,3,4,1,2,0,38,1,0,0,11,9,0,0,0,16,0,59,0,0
2012-08-13,504,142,0,0,4,0,768,0,6,1,5,16,11,14,2,19,0,0,7,0,0,0,8,0,4,1,0,0,0,11,1,0,1,0,0,0,36,0,1,0,1,11,0,0,0,25,1,48,0,0
2012-08-14,520,142,1,0,8,0,766,0,5,0,5,3,13,4,0,23,0,1,8,0,0,0,5,1,3,0,0,0,0,15,1,1,7,0,0,0,43,0,1,1,4,11,1,0,0,27,0,73,0,2
2012-08-15,602,151,0,1,3,0,879,0,10,4,1,6,11,14,9,21,0,0,11,0,0,0,12,1,1,2,1,0,0,14,1,0,3,14,0,0,56,1,1,1,3,14,0,0,0,33,2,78,0,0
2012-08-16,613,154,0,0,3,0,899,0,10,3,1,12,19,10,2,42,0,1,6,1,0,0,8,2,4,1,1,0,0,12,0,2,4,0,1,0,35,0,0,1,2,22,1,0,0,32,0,79,0,2
2012-08-17,574,165,0,0,1,0,857,0,7,3,3,7,25,13,2,26,0,0,8,0,0,0,9,0,3,0,1,0,0,28,2,4,5,5,0,0,34,0,0,0,5,12,0,0,0,22,0,71,1,2
2012-08-18,540,149,0,0,1,1,803,0,11,3,2,11,12,10,2,29,0,4,8,0,0,0,11,1,0,0,1,0,0,8,0,6,3,14,0,0,24,0,0,0,6,12,0,0,0,18,1,55,0,2
2012-08-19,467,146,0,1,2,1,711,0,12,2,1,10,13,5,5,27,0,1,11,0,0,0,8,0,3,0,2,0,0,9,3,2,3,0,0,1,23,0,1,0,6,2,0,0,3,17,2,55,0,2
2012-08-20,473,141,1,2,4,1,723,0,5,2,1,13,16,8,2,15,0,1,6,0,0,0,16,3,2,1,0,0,0,8,0,1,0,0,0,0,20,1,0,0,3,8,0,0,0,24,0,60,0,1
2012-08-21,482,129,2,0,0,0,740,0,7,1,2,10,10,9,3,8,0,1,9,1,0,0,6,1,2,0,2,0,0,3,1,1,1,2,0,0,31,0,1,0,2,18,0,0,0,38,0,58,0,1
2012-08-22,504,145,2,1,3,0,751,1,6,2,4,8,19,12,2,16,0,2,5,0,0,0,6,0,3,1,0,0,0,19,0,1,6,2,0,0,33,1,1,0,3,11,0,0,0,25,1,67,0,1
2012-08-23,574,177,2,1,3,1,864,0,10,2,3,8,13,12,5,21,0,0,11,1,0,0,7,0,5,1,1,0,0,15,0,3,4,0,0,0,33,1,0,0,5,12,0,0,0,31,0,86,0,0
2012-08-24,601,150,2,1,4,1,897,0,7,3,2,7,15,12,7,19,0,2,3,0,0,1,15,2,3,0,0,0,0,23,0,3,3,0,0,1,49,0,1,1,3,11,1,0,0,28,1,82,0,0
2012-08-25,474,146,0,1,3,1,738,0,3,1,4,4,18,7,1,13,0,2,3,1,0,1,8,0,0,0,1,0,0,10,3,1,2,0,1,0,26,0,2,0,10,12,0,0,0,13,0,68,0,1
2012-08-26,471,153,1,0,0,0,713,0,6,3,4,8,8,7,1,17,0,0,6,0,1,0,6,0,0,0,1,0,0,10,2,1,0,0,0,0,21,1,0,0,9,22,0,0,0,16,3,65,0,2
2012-08-27,548,166,3,1,1,0,827,1,12,0,1,7,18,3,4,17,0,0,9,0,0,0,3,0,2,0,0,0,1,20,2,1,2,5,0,0,37,1,1,1,4,10,1,0,0,27,1,62,0,2
2012-08-28,587,142,0,0,5,1,888,0,11,3,2,2,11,10,4,22,0,3,7,2,0,0,6,0,4,1,1,0,0,7,1,1,5,7,1,0,35,1,0,0,1,18,0,0,0,24,0,83,0,0
2012-08-29,550,128,0,3,5,0,810,0,11,0,3,4,19,10,6,16,0,1,6,2,0,0,11,0,0,3,0,0,0,20,0,4,2,2,1,0,53,1,0,0,4,17,0,0,0,16,0,83,0,0
