DATE,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,NUMBER_OF_PEDESTRIANS_INJURED,NUMBER_OF_PEDESTRIANS_KILLED,NUMBER_OF_CYCLIST_INJURED,NUMBER_OF_CYCLIST_KILLED,NUMBER_OF_MOTORIST_INJURED,NUMBER_OF_MOTORIST_KILLED
2014-08-17,154,1,24,0,15,0,115,1
2014-08-16,143,0,18,0,17,0,108,0
2014-08-15,99,1,12,0,14,1,73,0
2014-08-14,162,0,19,0,28,0,115,0
2014-08-13,155,1,34,0,14,1,107,0
2014-08-12,126,1,23,0,13,0,90,1
2014-08-11,144,0,31,0,21,0,92,0
2014-08-10,166,0,12,0,19,0,135,0
2014-08-09,152,0,16,0,15,0,121,0
2014-08-08,162,0,27,0,19,0,116,0
2014-08-07,156,0,27,0,27,0,102,0
2014-08-06,120,1,21,1,17,0,82,0
2014-08-05,174,1,36,1,22,0,116,0
2014-08-04,176,0,30,0,12,0,134,0
2014-08-03,122,0,14,0,7,0,101,0
2014-08-02,146,2,19,0,14,0,113,2
2014-08-01,167,3,36,2,19,0,112,1
2014-07-31,138,1,25,1,21,0,92,0
2014-07-30,147,0,23,0,23,0,101,0
2014-07-29,124,1,18,1,20,0,86,0
2014-07-28,151,1,31,0,21,1,99,0
2014-07-27,167,3,16,1,18,0,133,2
2014-07-26,148,0,16,0,26,0,106,0
2014-07-25,178,2,33,1,21,0,124,1
2014-07-24,148,2,28,0,25,0,95,2
2014-07-23,130,1,23,0,14,0,93,1
2014-07-22,154,0,24,0,16,0,114,0
2014-07-21,130,0,34,0,12,0,84,0
2014-07-20,125,2,17,1,13,1,95,0
2014-07-19,154,0,15,0,20,0,119,0
2014-07-18,156,2,23,1,9,0,124,1
2014-07-17,124,0,23,0,24,0,77,0
2014-07-16,137,0,21,0,26,0,90,0
2014-07-15,138,0,24,0,16,0,98,0
2014-07-14,143,3,29,3,13,0,101,0
2014-07-13,147,1,23,1,13,0,111,0
2014-07-12,137,0,20,0,10,0,107,0
2014-07-11,178,0,33,0,17,0,128,0
2014-07-10,136,1,28,1,16,0,92,0
2014-07-09,112,2,26,0,14,0,72,2
2014-07-08,140,0,28,0,19,0,93,0
2014-07-07,169,0,20,0,14,0,135,0
2014-07-06,148,1,16,0,12,1,120,0
2014-07-05,219,1,33,1,21,0,165,0
2014-07-04,118,1,20,0,8,0,90,1
2014-07-03,203,1,42,1,21,0,140,0
2014-07-02,155,3,31,2,18,0,106,1
2014-07-01,149,0,35,0,17,0,97,0
2014-06-30,164,0,28,0,23,0,113,0
2014-06-29,167,1,22,0,14,0,131,1
2014-06-28,197,1,45,1,18,0,133,0
2014-06-27,158,0,35,0,15,0,108,0
2014-06-26,195,0,45,0,20,0,130,0
2014-06-25,175,2,40,1,19,0,116,1
2014-06-24,150,0,30,0,28,0,92,0
2014-06-23,156,0,49,0,16,0,91,0
2014-06-22,144,0,15,0,10,0,119,0
2014-06-21,174,1,32,1,15,0,127,0
2014-06-20,211,2,43,0,30,0,138,2
2014-06-19,164,0,35,0,23,0,106,0
2014-06-18,150,0,37,0,14,0,99,0
2014-06-17,190,0,34,0,19,0,137,0
2014-06-16,179,0,41,0,13,0,125,0
2014-06-15,178,1,24,0,14,0,140,1
2014-06-14,134,0,24,0,11,0,99,0
2014-06-13,189,3,39,1,14,0,136,2
2014-06-12,158,0,21,0,18,0,119,0
2014-06-11,142,0,31,0,11,0,100,0
2014-06-10,123,2,25,0,5,2,93,0
2014-06-09,140,1,24,1,4,0,112,0
2014-06-08,204,0,20,0,15,0,169,0
2014-06-07,192,1,26,1,13,0,153,0
2014-06-06,196,1,40,0,23,1,133,0
2014-06-05,132,2,26,0,10,0,96,2
2014-06-04,136,1,21,0,13,0,102,1
2014-06-03,131,0,27,0,7,0,97,0
2014-06-02,164,3,35,1,23,0,106,2
2014-06-01,187,0,34,0,15,0,138,0
2014-05-31,153,1,28,1,5,0,120,0
2014-05-30,164,0,39,0,15,0,110,0
2014-05-29,185,0,39,0,17,0,129,0
2014-05-28,82,0,24,0,7,0,51,0
2014-05-27,162,1,31,0,14,0,117,1
2014-05-26,130,1,15,0,8,0,107,1
2014-05-25,147,1,19,0,11,0,117,1
2014-05-24,148,1,23,0,13,0,112,1
2014-05-23,184,1,44,0,13,1,127,0
2014-05-22,127,1,30,0,12,0,85,1
2014-05-21,117,3,23,1,14,0,80,2
2014-05-20,178,0,31,0,17,0,130,0
2014-05-19,151,3,15,1,15,0,121,2
2014-05-18,143,0,24,0,11,0,108,0
2014-05-17,142,0,26,0,15,0,101,0
2014-05-16,159,1,43,0,5,0,111,1
2014-05-15,176,0,41,0,13,0,120,0
2014-05-14,172,1,35,1,13,0,124,0
2014-05-13,128,1,27,0,12,0,89,1
2014-05-12,150,1,36,1,20,0,94,0
2014-05-11,165,2,13,0,10,1,142,1
2014-05-10,153,1,23,1,11,0,119,0
2014-05-09,123,0,30,0,9,0,84,0
2014-05-08,131,1,21,1,9,0,101,0
2014-05-07,154,0,23,0,10,0,121,0
2014-05-06,148,1,36,0,17,0,95,1
2014-05-05,159,1,26,1,13,0,120,0
2014-05-04,139,1,28,0,10,0,101,1
2014-05-03,153,1,37,1,15,0,101,0
2014-05-02,162,0,25,0,18,0,119,0
2014-05-01,171,1,37,0,16,0,118,1
2014-04-30,166,2,55,1,5,0,106,1
2014-04-29,117,0,23,0,5,0,89,0
2014-04-28,147,1,31,0,9,0,107,1
2014-04-27,164,0,26,0,13,0,125,0
2014-04-26,128,2,34,1,9,0,85,1
2014-04-25,142,0,23,0,11,0,108,0
2014-04-24,139,0,26,0,14,0,99,0
2014-04-23,117,1,37,1,18,0,62,0
2014-04-22,118,0,16,0,10,0,92,0
2014-04-21,111,1,25,1,9,0,77,0
2014-04-20,108,0,13,0,7,0,88,0
2014-04-19,150,0,23,0,21,0,106,0
2014-04-18,97,0,14,0,10,0,73,0
2014-04-17,97,1,27,0,5,1,65,0
2014-04-16,149,1,41,0,14,0,94,1
2014-04-15,117,0,33,0,5,0,79,0
2014-04-14,164,1,29,0,17,0,118,1
2014-04-13,146,0,23,0,9,0,114,0
2014-04-12,179,0,25,0,16,0,138,0
2014-04-11,136,0,29,0,11,0,96,0
2014-04-10,150,1,34,1,12,0,104,0
2014-04-09,150,1,31,0,7,1,112,0
2014-04-08,130,1,33,0,12,0,85,1
2014-04-07,156,0,45,0,7,0,104,0
2014-04-06,132,0,18,0,7,0,107,0
2014-04-05,150,1,32,0,5,0,113,1
2014-04-04,130,5,40,1,5,0,85,4
2014-04-03,125,1,29,1,18,0,78,0
2014-04-02,130,2,26,1,9,0,95,1
2014-04-01,102,0,23,0,8,0,71,0
2014-03-31,132,0,29,0,8,0,95,0
2014-03-30,125,0,25,0,8,0,92,0
2014-03-29,181,0,58,0,6,0,117,0
2014-03-28,124,1,28,1,10,0,86,0
2014-03-27,133,2,30,1,4,0,99,1
2014-03-26,130,0,39,0,4,0,87,0
2014-03-25,115,1,24,1,5,0,86,0
2014-03-24,125,1,26,1,3,0,96,0
